Id, Question
1, What do West Indian steel bands use as instruments ?
2, Is there any top medical universities in Ukraine?
3, Who was the prophet of the Jewish people ?
4, How tall is the replica of the Matterhorn at Disneyland ?
5, How tall was the animated Frankenstein
6, What is form drag ?
7, Why does turkey have darker  more flavorful dark meat than chicken?
8, Does CMFB  stand for Committee on monetary  finance and balance of payments statistics?
9, Where is Ocho Rios ?
10, What is the population of Australia ?
11, What is the second highest mountain peak in the world ?
12, Why do some people believe that life ends at death?
13, Is there anyone else who thinks Star Wars is overrated?
14, When was Rosa Parks born ?
15, Don't tourists like to visit Barretos ?
16, Which is the worst place to go in  Eindhoven ?
17, What is the name of the rare neurological disease with symptoms such as   involuntary movements   tics   swearing   and incoherent vocalizations   grunts   shouts   etc. ?
18, What was the sister ship of the Olympic ?
19, Doesn't EXP  stand for Export?
20, Doesn't RE  stand for Retained Earnings?
21, What is a courier ?
22, What is the scientific reason behind visiting temples?
23, What causes canker sores in the mouth ?
24, Does ASCEPT  mean Australasian Society of Clinical & Experimental Pharmacologists and Toxicologists?
25, Is she an artist or a scientist?
26, What city is the Kentucky Horse Park near ?
27, What are the chances of pregnacy if the penis does not penetrate the vagina ?
28, Which is the best place to go in Darbhanga ?
29, What cancer is commonly associated with AIDS ?
30, What is the statue of liberty made of ?
31, What are perfect tenses ?
32, What European country 's monarchy was restored in 1975 ?
33, How many languages does the Pope speak ?
34, Does RFP  stand for Request for Proposal?
35, Which is the highest fraction we can get using at most 10 zeros?
36, Is Gayle Laakmann McDowell planning on publishing any more books?
37, What is glass made of ?
38, When was the first stained glass window made ?
39, What does a dipsomaniac crave ?
40, In what year did Ireland elect its first woman president ?
41, Is Dongyang  the capital of China?
42, Is there cure for HIV?
43, What explorer was nicknamed Iberia 's Pilot ?
44, Who developed the Macintosh computer ?
45, What is x + y + z if all are least even integers?
46, In your opinion  what is the best classical song of all time?
47, What was the previous name for the Commonwealth ?
48, Which is the greatest fraction we can get using at most 10 ones?
49, What is power steering ?
50, How important is the role of TPM at Amazon?
51, Is there not a way to find my iCloud password without security questions if forgotten password?
52, Don't tourists like to visit Anchorage ?
